ast,sdc,mark
lutk,334099,84
lutk,526603,80
lutk,344120,74
lutk,522368,86
lutk,910297,60
lutk,914397,76
lutk,585522,80
lutk,279784,80
lutk,476646,82
lutk,985233,86
lutk,469859,76
lutk,847053,55
lutk,705369,83
lutk,280395,45
lutk,581297,60
lutk,210055,62
lutk,954783,80
lutk,167221,85
lutk,384953,82
lutk,774792,76
lutk,338474,90
lutk,940795,48
lutk,804488,88
lutk,762679,90
lutk,194571,73
lutk,596939,95
lutk,819777,72
lutk,820043,80
lutk,482039,84
lutk,273906,50
lutk,620388,80
lutk,984447,50
lutk,848335,93
lutk,566326,80
lutk,643174,45
lutk,688014,78
lutk,131155,65
lutk,542726,66
lutk,780387,78
lutk,666348,65
lutk,854198,86
lutk,540363,81
lutk,991992,68
lutk,512957,62
lutk,798529,80
lutk,543080,62
lutk,945029,73
lutk,383229,78
lutk,481451,58
lutk,940567,80
lutk,150031,62
lutk,230386,68
lutk,757697,84
lutk,461970,81
lutk,684599,76
lutk,215866,83
lutk,609354,78
lutk,215293,82
lutk,366410,67
lutk,482825,63
lutk,369048,60
lutk,853494,68
lutk,978204,78
lutk,191137,75
lutk,468202,62
lutk,814357,80
lutk,259627,80
lutk,834915,68
lutk,314737,75
lutk,536462,92
lutk,940851,65
lutk,117613,58
lutk,454119,13
lutk,902328,77
lutk,834299,83
lutk,696119,85
lutk,131885,68
lutk,330993,88
lutk,283753,80
lutk,799358,70
lutk,365589,83
lutk,684070,75
lutk,420402,78
lutk,194016,67
lutk,641959,75
lutk,543009,82
lutk,803238,86
lutk,965158,90
lutk,707642,92
lutk,639518,55
lutk,481962,68
ltwa,747126,70
ltwa,623981,83
ltwa,644637,85
ltwa,926911,74
ltwa,198196,76
ltwa,637435,74
ltwa,346221,72
ltwa,666497,83
ltwa,785417,69
ltwa,527585,72
ltwa,477850,73
ltwa,172363,83
ltwa,525051,84
ltwa,135059,70
ltwa,736476,67
ltwa,597358,72
ltwa,549460,74
ltwa,688229,72
ltwa,607830,73
ltwa,135186,77
ltwa,866254,69
ltwa,429922,70
ltwa,326276,75
ltwa,721447,80
ltwa,898474,83
ltwa,250740,70
ltwa,757286,81
ltwa,653872,73
ltwa,823609,75
ltwa,486901,74
ltwa,592580,73
ltwa,180434,83
ltwa,846391,77
ltwa,984653,71
ltwa,922945,79
ltwa,901719,31
ltwa,276862,86
ltwa,580265,73
ltwa,111966,0
ltwa,542256,74
ltwa,596980,76
ltwa,820077,86
ltwa,328955,77
ltwa,602013,80
ltwa,687098,69
ltwa,211379,82
ltwa,963225,80
ltwa,862212,78
ltwa,726137,73
ltwa,794588,63
ltwa,837764,82
ltwa,817701,83
ltwa,554416,70
ltwa,698749,76
ltwa,233334,57
ltwa,673243,0
ltwa,294767,35
ltwa,472418,84
ltwa,145663,81
ltwa,213557,74
ltwa,145983,84
ltwa,750612,70
ltwa,588022,69
ltwa,562113,0
ltwa,702086,73
ltwa,589346,72
ltwa,137772,77
ltwa,635967,83
ltwa,903150,72
ltwa,407373,80
ltwa,152744,66.5
ltwa,271505,70
ltwa,586961,65
ltwa,205557,63
ltwa,409366,84
ltwa,152695,79
ltwa,855748,69
ltwa,513033,74
ltwa,809577,74
ltwa,563037,70
ltwa,940298,0
xbkv,760156,0
xbkv,933754,82
xbkv,957511,68
xbkv,245374,90
xbkv,849862,70
xbkv,780191,50
xbkv,713209,79
xbkv,101885,88
xbkv,692650,71
xbkv,844684,73
xbkv,800620,70
xbkv,103181,57
xbkv,806846,82
xbkv,140810,70
xbkv,255348,72
xbkv,583365,69
xbkv,878620,56
xbkv,575443,62
xbkv,551044,69
xbkv,391801,80
xbkv,682413,90
xbkv,324974,78
xbkv,813816,0
xbkv,473705,87
xbkv,182052,59
xbkv,536760,0
xbkv,490105,55
xbkv,806496,84
xbkv,359489,77
xbkv,244897,0
xbkv,510242,73
xbkv,500267,70
xbkv,905757,85
xbkv,687792,0
xbkv,351521,66
xbkv,967256,83
xbkv,366399,79
xbkv,291671,50
xbkv,987878,61
xbkv,687936,54
xbkv,740115,0
xbkv,773543,67
xbkv,307958,84
xbkv,852089,55
xbkv,116480,76
xbkv,400841,83
xbkv,944569,70
xbkv,703539,88
xbkv,242150,61
xbkv,454591,67
xbkv,195768,58
xbkv,486945,0
xbkv,477936,88
xbkv,767876,55
xbkv,221985,85
xbkv,917357,69
xbkv,816780,89
xbkv,961449,67
xbkv,493713,79
xbkv,925618,88
xbkv,482031,66
xbkv,528695,80
xbkv,276861,68
xbkv,943341,81
xbkv,101746,76
xbkv,411412,82
xbkv,598842,78
bemh,306316,0
bemh,822900,68
bemh,512477,82
bemh,876778,73
bemh,396606,70
bemh,290701,72
bemh,251559,74
bemh,935324,86
bemh,764032,68
bemh,749981,76
bemh,775104,80
bemh,550661,90
bemh,951469,68
bemh,766030,75
bemh,104689,80
bemh,116679,66
bemh,811305,76
bemh,977842,58
bemh,821201,88
bemh,919810,79
bemh,443321,88
bemh,834556,70
bemh,532510,85
bemh,562754,88
bemh,371676,75
bemh,448237,85
bemh,990376,68
bemh,920018,82
bemh,589925,65
bemh,711667,60
bemh,252873,88
bemh,114185,12
bemh,937196,77
bemh,708915,78
bemh,996021,67
bemh,426850,77
bemh,418633,90
bemh,486511,75
bemh,448367,72
bemh,781005,78
bemh,488418,68
bemh,559093,75
bemh,691259,68
bemh,749384,73
bemh,285042,78
bemh,417635,74
bemh,116824,75
bemh,162638,79
bemh,224062,70
bemh,921724,0
bemh,698233,70
bemh,674874,76
bemh,400008,75
bemh,205269,65
bemh,899200,62
bemh,755073,67
bemh,506917,73
bemh,789794,78
bemh,998581,82
bemh,761102,67
bemh,478953,55
bemh,379248,51
bemh,809742,84
bemh,601169,75
bemh,459860,80
zbzs,758592,70
zbzs,975179,78
zbzs,408620,82
zbzs,524203,92
zbzs,767173,72
zbzs,329294,79
zbzs,855762,78
zbzs,782903,78
zbzs,685939,88
zbzs,829577,75
zbzs,734042,80
zbzs,670452,86
zbzs,252398,58
zbzs,653801,48
zbzs,427093,68
zbzs,629220,65
zbzs,300556,78
zbzs,302588,78
zbzs,591716,72
zbzs,962740,70
zbzs,437672,79
zbzs,251974,68
zbzs,262192,72
zbzs,844462,60
zbzs,473266,70
zbzs,152692,70
zbzs,451220,86
zbzs,274293,68
zbzs,573322,85
zbzs,217056,70
zbzs,551028,66
zbzs,171109,68
zbzs,424276,78
zbzs,284514,70
zbzs,104618,70
zbzs,326959,55
zbzs,772634,45
zbzs,479675,72
zbzs,327137,78
zbzs,620063,0
zbzs,273825,90
zbzs,374526,72
zbzs,781936,82
zbzs,805101,76
zbzs,520944,86
zbzs,133826,82
zbzs,734739,66
zbzs,631199,74
zbzs,935063,0
zbzs,911815,64
zbzs,904274,76
zbzs,471871,0
zbzs,109220,70
zbzs,171477,85
zbzs,136541,80
zbzs,605009,78
zbzs,837888,64
zbzs,507497,82
zbzs,227667,88
zbzs,769815,72
zbzs,230494,75
zbzs,488081,90
zbzs,214934,88
zbzs,377532,92
zbzs,586981,76
zbzs,854333,90
zbzs,655715,74
zbzs,123875,79
zbzs,373901,43
zbzs,480843,78
zbzs,374400,72
pyxn,208861,30
pyxn,935006,64
pyxn,716984,68
pyxn,395334,50
pyxn,172261,80
pyxn,238830,87
pyxn,163436,84
pyxn,293996,75
pyxn,935813,0
pyxn,115520,0
pyxn,934772,86
pyxn,715012,85
pyxn,404483,83
pyxn,874517,83
pyxn,500128,82
pyxn,542677,81
pyxn,573121,81
pyxn,276435,80
pyxn,688938,80
pyxn,311069,80
pyxn,475761,80
pyxn,568551,79
pyxn,737149,79
pyxn,918961,78
pyxn,444640,78
pyxn,921919,75
pyxn,460656,75
pyxn,951533,75
pyxn,772237,75
pyxn,755760,75
pyxn,600518,74
pyxn,506541,72
pyxn,984848,72
pyxn,523451,70
pyxn,244468,70
pyxn,287188,70
pyxn,770861,68
pyxn,803632,68
pyxn,129138,68
pyxn,426747,68
pyxn,972662,68
pyxn,864007,68
pyxn,904168,66
pyxn,831797,66
pyxn,838149,66
pyxn,321460,65
pyxn,318794,0
pyxn,432809,0
pyxn,474417,0
pyxn,936964,0
pyxn,713088,63
pyxn,231337,0
pyxn,263833,71
pksz,352356,77
pksz,801317,55
pksz,331323,74
pksz,938573,55
pksz,568625,68.5
pksz,888435,50
pksz,848407,77.5
pksz,364332,68.5
pksz,403690,81
pksz,546842,79
pksz,511857,41
pksz,871482,69
pksz,856905,75.5
pksz,663203,81
pksz,584298,82
pksz,951914,0
pksz,362397,82
pksz,386275,47.5
pksz,405104,55.5
pksz,726975,74
pksz,272629,71
pksz,192582,0
pksz,827691,67.5
pksz,986325,79
pksz,424826,70.5
pksz,967295,69.5
pksz,283284,51.5
pksz,495481,53
pksz,429699,71
pksz,664566,79
pksz,163236,77
pksz,164459,80
pksz,570359,77.5
pksz,376524,76
pksz,552055,62
pksz,172394,65.5
pksz,195689,0
pksz,261643,63
pksz,385936,86
pksz,630294,71.5
pksz,623430,80
pksz,198678,0
pksz,594259,67.5
pksz,673433,0
pksz,282651,72
pksz,222049,50
pksz,796322,75
pksz,459222,52.5
pksz,345597,77
pksz,112245,67.5
pksz,975707,62.5
pksz,557016,73.5
pksz,791628,78
pksz,219113,73.5
pksz,973545,74.5
pksz,584763,68.5
pksz,266774,66
pksz,194271,67
pksz,105944,69.5
pksz,395837,71
pksz,359668,63.5
pksz,908156,72
pksz,984446,67
